"code";"description";"procurement_category";"name";"parent";"language_code"
"03200000-3";;"goods";"Зерновые, картофель, овощи, фрукты и орехи";"03000000-1";"ru"
"03210000-6";;"goods";"Cereals and potatoes";"03200000-3";"en"
"03210000-6";;"goods";"Cereale şi cartofi";"03200000-3";"ro"
"03210000-6";;"goods";"Зерновые и картофель";"03200000-3";"ru"
"03211000-3";;"goods";"Cereals";"03210000-6";"en"
"03211000-3";;"goods";"Cereale";"03210000-6";"ro"
"03211000-3";;"goods";"Зерновые";"03210000-6";"ru"
"03211100-4";;"goods";"Wheat";"03211000-3";"en"
"03211100-4";;"goods";"Grâu";"03211000-3";"ro"
"03211100-4";;"goods";"Пшеница";"03211000-3";"ru"
"03211110-7";;"goods";"Durum wheat";"03211000-3";"en"
"03211110-7";;"goods";"Grâu dur";"03211000-3";"ro"
"03211110-7";;"goods";"Пшеница твердых сортов";"03211000-3";"ru"
"03211120-0";;"goods";"Soft wheat";"03211000-3";"en"
"03211120-0";;"goods";"Grâu comun";"03211000-3";"ro"
"03211120-0";;"goods";"Пшеница обычная";"03211000-3";"ru"
"03211200-5";;"goods";"Maize";"03211000-3";"en"
"03211200-5";;"goods";"Porumb";"03211000-3";"ro"
"03211200-5";;"goods";"Кукуруза";"03211000-3";"ru"
"03211300-6";;"goods";"Rice";"03211000-3";"en"
"03211300-6";;"goods";"Orez";"03211000-3";"ro"
"03211300-6";;"goods";"Рис";"03211000-3";"ru"
"03211400-7";;"goods";"Barley";"03211000-3";"en"
"03211400-7";;"goods";"Orz";"03211000-3";"ro"
"03211400-7";;"goods";"Ячмень";"03211000-3";"ru"
"03211500-8";;"goods";"Rye";"03211000-3";"en"
"03211500-8";;"goods";"Secară";"03211000-3";"ro"
"03211500-8";;"goods";"Рожь";"03211000-3";"ru"
"03211600-9";;"goods";"Oats";"03211000-3";"en"
"03211600-9";;"goods";"Ovăz";"03211000-3";"ro"
"03211600-9";;"goods";"Овес";"03211000-3";"ru"
"03211700-0";;"goods";"Malt";"03211000-3";"en"
"03211700-0";;"goods";"Malţ";"03211000-3";"ro"
"03211700-0";;"goods";"Солод";"03211000-3";"ru"
"03211900-2";;"goods";"Grain products";"03211000-3";"en"
"03211900-2";;"goods";"Produse pe bază de cereale";"03211000-3";"ro"
"03211900-2";;"goods";"Продукты на основе зерновых";"03211000-3";"ru"
"03212000-0";;"goods";"Potatoes and dried vegetables";"03210000-6";"en"
"03212000-0";;"goods";"Cartofi şi legume uscate";"03210000-6";"ro"
"03212000-0";;"goods";"Картофель и сушеные овощи";"03210000-6";"ru"
"03212100-1";;"goods";"Potatoes";"03212000-0";"en"
"03212100-1";;"goods";"Cartofi";"03212000-0";"ro"
"03212100-1";;"goods";"Картофель";"03212000-0";"ru"
"03212200-2";;"goods";"Dried leguminous vegetables and pulses";"03212000-0";"en"
"03212200-2";;"goods";"Legume cu păstăi şi legume cu teacă uscate";"03212000-0";"ro"
"03212200-2";;"goods";"Бобовые и стручковые овощи, сушеные";"03212000-0";"ru"
"03212210-5";;"goods";"Dried leguminous vegetables";"03212000-0";"en"
"03212210-5";;"goods";"Legume cu păstăi uscate";"03212000-0";"ro"
"03212210-5";;"goods";"Стручковые овощи, сушеные";"03212000-0";"ru"
"03212211-2";;"goods";"Lentils";"03212000-0";"en"
"03212211-2";;"goods";"Linte";"03212000-0";"ro"
"03212211-2";;"goods";"Чечевица";"03212000-0";"ru"
"03212212-9";;"goods";"Chick peas";"03212000-0";"en"
"03212212-9";;"goods";"Năut";"03212000-0";"ro"
"03212212-9";;"goods";"Нут";"03212000-0";"ru"
"03212213-6";;"goods";"Dried peas";"03212000-0";"en"
"03212213-6";;"goods";"Mazăre uscată";"03212000-0";"ro"
"03212213-6";;"goods";"Сушеный горох";"03212000-0";"ru"
"03212220-8";;"goods";"Pulses";"03212000-0";"en"
"03212220-8";;"goods";"Legume cu teacă";"03212000-0";"ro"
"03212220-8";;"goods";"Стручковые овощи";"03212000-0";"ru"
"03220000-9";;"goods";"Vegetables, fruits and nuts";"03200000-3";"en"
"03220000-9";;"goods";"Legume, fructe şi fructe cu coajă";"03200000-3";"ro"
"03220000-9";;"goods";"Овощи, фрукты и фрукты с кожурой";"03200000-3";"ru"
"03221000-6";;"goods";"Vegetables";"03220000-9";"en"
"03221000-6";;"goods";"Legume";"03220000-9";"ro"
"03221000-6";;"goods";"Овощи";"03220000-9";"ru"
"03221100-7";;"goods";"Root and tuber vegetables";"03221000-6";"en"
"03221100-7";;"goods";"Rădăcinoase şi tuberculi";"03221000-6";"ro"
"03221100-7";;"goods";"Корнеплоды и клубни";"03221000-6";"ru"
"03221110-0";;"goods";"Root vegetables";"03221000-6";"en"
"03221110-0";;"goods";"Rădăcinoase";"03221000-6";"ro"
"03221110-0";;"goods";"Корнеплоды";"03221000-6";"ru"
"03221111-7";;"goods";"Beetroot";"03221000-6";"en"
"03221111-7";;"goods";"Sfeclă";"03221000-6";"ro"
"03221111-7";;"goods";"Свекла";"03221000-6";"ru"
"03221112-4";;"goods";"Carrots";"03221000-6";"en"
"03221112-4";;"goods";"Morcovi";"03221000-6";"ro"
"03221112-4";;"goods";"Морковь";"03221000-6";"ru"
"03221113-1";;"goods";"Onions";"03221000-6";"en"
"03221113-1";;"goods";"Ceapă";"03221000-6";"ro"
"03221113-1";;"goods";"Лук";"03221000-6";"ru"
"03221114-8";;"goods";"Turnips";"03221000-6";"en"
"03221114-8";;"goods";"Napi";"03221000-6";"ro"
"03221114-8";;"goods";"Турнепс";"03221000-6";"ru"
"03221120-3";;"goods";"Tuber vegetables";"03221000-6";"en"
"03221120-3";;"goods";"Tuberculi";"03221000-6";"ro"
"03221120-3";;"goods";"Клубни";"03221000-6";"ru"
"03221200-8";;"goods";"Fruit vegetables";"03221000-6";"en"
"03221200-8";;"goods";"Legume cultivate pentru fructele lor";"03221000-6";"ro"
"03221200-8";;"goods";"Овощи, выращиваемые ради их плодов";"03221000-6";"ru"
"03221210-1";;"goods";"Beans";"03221000-6";"en"
"03221210-1";;"goods";"Fasole";"03221000-6";"ro"
"03221210-1";;"goods";"Фасоль";"03221000-6";"ru"
"03221211-8";;"goods";"Broad beans";"03221000-6";"en"
"03221211-8";;"goods";"Boabe";"03221000-6";"ro"
"03221211-8";;"goods";"Бобы";"03221000-6";"ru"
"03221212-5";;"goods";"Green beans";"03221000-6";"en"
"03221212-5";;"goods";"Fasole verde";"03221000-6";"ro"
"03221212-5";;"goods";"Зеленая фасоль";"03221000-6";"ru"
"03221213-2";;"goods";"Runner beans";"03221000-6";"en"
"03221213-2";;"goods";"Fasole spaniolă";"03221000-6";"ro"
"03221213-2";;"goods";"Испанские бобы";"03221000-6";"ru"
"03221220-4";;"goods";"Peas";"03221000-6";"en"
"03221220-4";;"goods";"Mazăre";"03221000-6";"ro"
"03221220-4";;"goods";"Горох";"03221000-6";"ru"
"03221221-1";;"goods";"Garden peas";"03221000-6";"en"
"03221221-1";;"goods";"Mazăre verde";"03221000-6";"ro"
"03221221-1";;"goods";"Зеленый горох";"03221000-6";"ru"
"03221222-8";;"goods";"Mange-tout";"03221000-6";"en"
"03221222-8";;"goods";"Mazăre cu păstăi comestibile";"03221000-6";"ro"
"03221222-8";;"goods";"Горох со съедобными стручками";"03221000-6";"ru"
"03221230-7";;"goods";"Peppers";"03221000-6";"en"
"03221230-7";;"goods";"Ardei";"03221000-6";"ro"
"03221230-7";;"goods";"Перец";"03221000-6";"ru"
"03221240-0";;"goods";"Tomatoes";"03221000-6";"en"
"03221240-0";;"goods";"Tomate";"03221000-6";"ro"
"03221240-0";;"goods";"Помидоры";"03221000-6";"ru"
"03221250-3";;"goods";"Courgettes";"03221000-6";"en"
"03221250-3";;"goods";"Dovlecei";"03221000-6";"ro"
"03221250-3";;"goods";"Кабачки";"03221000-6";"ru"
"03221260-6";;"goods";"Mushrooms";"03221000-6";"en"
"03221260-6";;"goods";"Ciuperci";"03221000-6";"ro"
"03221260-6";;"goods";"Грибы";"03221000-6";"ru"
"03221270-9";;"goods";"Cucumbers";"03221000-6";"en"
"03221270-9";;"goods";"Castraveţi";"03221000-6";"ro"
"03221270-9";;"goods";"Огурцы";"03221000-6";"ru"
"03221300-9";;"goods";"Leaf vegetables";"03221000-6";"en"
"03221300-9";;"goods";"Legume pentru frunze";"03221000-6";"ro"
"03221300-9";;"goods";"Овощи, выращиваемые ради их листьев";"03221000-6";"ru"
"03221310-2";;"goods";"Lettuce";"03221000-6";"en"
"03221310-2";;"goods";"Lăptuci";"03221000-6";"ro"
"03221310-2";;"goods";"Салат-латук";"03221000-6";"ru"
"03221320-5";;"goods";"Salad leaves";"03221000-6";"en"
"03221320-5";;"goods";"Foi de salată";"03221000-6";"ro"
"03221320-5";;"goods";"Листья салата";"03221000-6";"ru"
"03221330-8";;"goods";"Artichokes";"03221000-6";"en"
"03221330-8";;"goods";"Anghinare";"03221000-6";"ro"
"03221330-8";;"goods";"Артишоки";"03221000-6";"ru"
"03221340-1";;"goods";"Spinach";"03221000-6";"en"
"03221340-1";;"goods";"Spanac";"03221000-6";"ro"
"03221340-1";;"goods";"Шпинат";"03221000-6";"ru"
"03221400-0";;"goods";"Cabbage vegetables";"03221000-6";"en"
"03221400-0";;"goods";"Varză";"03221000-6";"ro"
"03221400-0";;"goods";"Капуста";"03221000-6";"ru"
"03221410-3";;"goods";"Cabbage";"03221000-6";"en"
"03221410-3";;"goods";"Varză albă";"03221000-6";"ro"
"03221410-3";;"goods";"Белая капуста";"03221000-6";"ru"
"03221420-6";;"goods";"Cauliflower";"03221000-6";"en"
"03221420-6";;"goods";"Conopidă";"03221000-6";"ro"
"03221420-6";;"goods";"Цветная капуста";"03221000-6";"ru"
"03221430-9";;"goods";"Broccoli";"03221000-6";"en"
"03221430-9";;"goods";"Broccoli";"03221000-6";"ro"
"03221430-9";;"goods";"Брокколи";"03221000-6";"ru"
"03221440-2";;"goods";"Brussels sprouts";"03221000-6";"en"
"03221440-2";;"goods";"Varză de Bruxelles";"03221000-6";"ro"
"03221440-2";;"goods";"Брюссельская капуста";"03221000-6";"ru"
"03222000-3";;"goods";"Fruit and nuts";"03220000-9";"en"
"03222000-3";;"goods";"Fructe şi fructe cu coajă";"03220000-9";"ro"
"03222000-3";;"goods";"Фрукты и фрукты с кожурой";"03220000-9";"ru"
"03222100-4";;"goods";"Tropical fruit and nuts";"03222000-3";"en"
"03222100-4";;"goods";"Fructe şi fructe cu coajă tropicale";"03222000-3";"ro"
"03222100-4";;"goods";"Фрукты и тропические фрукты с кожурой";"03222000-3";"ru"
"03222110-7";;"goods";"Tropical fruit";"03222000-3";"en"
"03222110-7";;"goods";"Fructe tropicale";"03222000-3";"ro"
"03222110-7";;"goods";"Тропические фрукты";"03222000-3";"ru"
"03222111-4";;"goods";"Bananas";"03222000-3";"en"
"03222111-4";;"goods";"Banane";"03222000-3";"ro"
"03222111-4";;"goods";"Бананы";"03222000-3";"ru"
"03222112-1";;"goods";"Pineapples";"03222000-3";"en"
"03222112-1";;"goods";"Ananas";"03222000-3";"ro"
"03222112-1";;"goods";"Ананасы";"03222000-3";"ru"
"03222113-8";;"goods";"Mangoes";"03222000-3";"en"
"03222113-8";;"goods";"Mango";"03222000-3";"ro"
"03222113-8";;"goods";"Манго";"03222000-3";"ru"
"03222114-5";;"goods";"Dates";"03222000-3";"en"
"03222114-5";;"goods";"Curmale";"03222000-3";"ro"
"03222114-5";;"goods";"Финики";"03222000-3";"ru"
"03222115-2";;"goods";"Raisins";"03222000-3";"en"
"03222115-2";;"goods";"Stafide";"03222000-3";"ro"
"03222115-2";;"goods";"Изюм";"03222000-3";"ru"
"03222116-9";;"goods";"Figs";"03222000-3";"en"
"03222116-9";;"goods";"Smochine";"03222000-3";"ro"
"03222116-9";;"goods";"Инжир";"03222000-3";"ru"
"03222117-6";;"goods";"Avocados";"03222000-3";"en"
"03222117-6";;"goods";"Avocado";"03222000-3";"ro"
"03222117-6";;"goods";"Авокадо";"03222000-3";"ru"
"03222118-3";;"goods";"Kiwi fruit";"03222000-3";"en"
"03222118-3";;"goods";"Kiwi";"03222000-3";"ro"
"03222118-3";;"goods";"Киви";"03222000-3";"ru"
"03222120-0";;"goods";"Coconuts";"03222000-3";"en"
"03222120-0";;"goods";"Nuci de cocos";"03222000-3";"ro"
"03222120-0";;"goods";"Кокосовые орехи";"03222000-3";"ru"
"03222200-5";;"goods";"Citrus fruit";"03222000-3";"en"
"03222200-5";;"goods";"Citrice";"03222000-3";"ro"
"03222200-5";;"goods";"Цитрусовые";"03222000-3";"ru"
"03222210-8";;"goods";"Lemons";"03222000-3";"en"
"03222210-8";;"goods";"Lămâi";"03222000-3";"ro"
"03222210-8";;"goods";"Лимон";"03222000-3";"ru"
"03222220-1";;"goods";"Oranges";"03222000-3";"en"
"03222220-1";;"goods";"Portocale";"03222000-3";"ro"
"03222220-1";;"goods";"Апельсин";"03222000-3";"ru"
"03222230-4";;"goods";"Grapefruit";"03222000-3";"en"
"03222230-4";;"goods";"Grepfrut";"03222000-3";"ro"
"03222230-4";;"goods";"Грейпфрут";"03222000-3";"ru"
"03222240-7";;"goods";"Tangerines";"03222000-3";"en"
"03222240-7";;"goods";"Tangerine";"03222000-3";"ro"
"03222240-7";;"goods";"Мандарины";"03222000-3";"ru"
"03222250-0";;"goods";"Limes";"03222000-3";"en"
"03222250-0";;"goods";"Lămâi verzi";"03222000-3";"ro"
"03222250-0";;"goods";"Зеленые лимоны";"03222000-3";"ru"
"03222300-6";;"goods";"Non-tropical fruit";"03222000-3";"en"
"03222300-6";;"goods";"Fructe, altele decât cele tropicale";"03222000-3";"ro"
"03222300-6";;"goods";"Нетропические фрукты";"03222000-3";"ru"
"03222310-9";;"goods";"Berry fruit";"03222000-3";"en"
"03222310-9";;"goods";"Bace";"03222000-3";"ro"
"03222310-9";;"goods";"Ягоды";"03222000-3";"ru"
"03222311-6";;"goods";"Currants";"03222000-3";"en"
"03222311-6";;"goods";"Stafide de Corint";"03222000-3";"ro"
"03222311-6";;"goods";"Коринфский изюм";"03222000-3";"ru"
"03222312-3";;"goods";"Gooseberries";"03222000-3";"en"
"03222312-3";;"goods";"Agrişe";"03222000-3";"ro"
"03222312-3";;"goods";"Крыжовник";"03222000-3";"ru"
"03222313-0";;"goods";"Strawberries";"03222000-3";"en"
"03222313-0";;"goods";"Căpşuni";"03222000-3";"ro"
"03222313-0";;"goods";"Клубника";"03222000-3";"ru"
"03222314-7";;"goods";"Raspberries";"03222000-3";"en"
"03222314-7";;"goods";"Zmeură";"03222000-3";"ro"
"03222314-7";;"goods";"Малина";"03222000-3";"ru"
"03222315-4";;"goods";"Cranberries";"03222000-3";"en"
"03222315-4";;"goods";"Afine";"03222000-3";"ro"
"03222315-4";;"goods";"Черника";"03222000-3";"ru"
"03222320-2";;"goods";"Apples, pears and quinces";"03222000-3";"en"
"03222320-2";;"goods";"Mere, pere şi gutui";"03222000-3";"ro"
"03222320-2";;"goods";"Яблоки, груши и айва";"03222000-3";"ru"
"03222321-9";;"goods";"Apples";"03222000-3";"en"
"03222321-9";;"goods";"Mere";"03222000-3";"ro"
"03222321-9";;"goods";"Яблоки";"03222000-3";"ru"
